YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,VOTES CASTED,Election Type
1980,Bihar,Sitamarhi,11,Baliram Bhagat,Male,Indian National Congress (U),Other,814886,471407,57.90%,GEN,471818,Lok Sabha (National)
1980,Bihar,Sheohar,12,Ram Dulari Singh,Male,Indian National Congress (I),Hand,790288,419552,53.10%,GEN,419642,Lok Sabha (National)
1980,Bihar,Madhubani,13,Shafiqullah Ansari,Male,Indian National Congress (I),Hand,774006,477545,61.70%,GEN,477561,Lok Sabha (National)
1980,Bihar,Jhanjharpur,14,Dhanik Lal Mandal,Male,Janta Party (SECULAR),Other,700394,459432,65.60%,GEN,459458,Lok Sabha (National)
1980,Bihar,Darbhanga,15,Hari Nath Mishra,Male,Indian National Congress (I),Hand,732217,473415,64.70%,GEN,473744,Lok Sabha (National)
1980,Bihar,Rosera,16,Baleshwar Ram,Male,Indian National Congress (I),Hand,743904,468253,63.00%,SC,468659,Lok Sabha (National)
1980,Bihar,Samastipur,17,Ajit Kumar Mehta,Male,Janta Party (SECULAR),Other,849825,475011,55.90%,GEN,475052,Lok Sabha (National)
1980,Bihar,Barh,18,Dharmvir Singh,Male,Indian National Congress (U),Other,780459,484029,62.00%,GEN,483884,Lok Sabha (National)
1980,Bihar,Balia,19,Surya Narayan Singh,Male,Communist Party Of India,Other,714492,389642,54.50%,GEN,389398,Lok Sabha (National)
1980,Bihar,Saharsa,20,Kamal Nath Jha,Male,Indian National Congress (I),Hand,803843,499103,62.10%,GEN,499186,Lok Sabha (National)
1980,Bihar,Madhepura,21,Rajendra Pd. Yadav,Male,Indian National Congress (U),Other,746552,446809,59.90%,GEN,447184,Lok Sabha (National)
1980,Bihar,Araria,22,Dumar Lal Baitha,Male,Indian National Congress (I),Hand,702757,392444,55.80%,SC,392138,Lok Sabha (National)
1980,Bihar,Kishanganj,23,Zamilur Rahman,Male,Indian National Congress (I),Hand,702809,320666,45.60%,GEN,320480,Lok Sabha (National)
1980,Bihar,Purnea,24,Madhuri Singh,Male,Indian National Congress (I),Hand,686099,345746,50.40%,GEN,345793,Lok Sabha (National)
1980,Bihar,Katihar,25,Shah Tarique Anwar,Male,Indian National Congress (I),Hand,612145,318884,52.10%,GEN,318927,Lok Sabha (National)
1980,Bihar,Rajmahal,26,Seth Hemrem,Male,Indian National Congress (I),Hand,629351,227326,36.10%,ST,227195,Lok Sabha (National)
1980,Bihar,Dumka,27,Shibu Siren,Male,Independent,Rising Sun/Other,645270,310392,48.10%,ST,310374,Lok Sabha (National)
1980,Bihar,Godda,28,Samin Udin,Male,Indian National Congress (I),Hand,711384,356239,50.10%,GEN,356403,Lok Sabha (National)
