YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,VOTES CASTED,Election Type
1964,Goa,Marcaim,15,Dayanand Bandodkar,Male,Maharashtrawadi Gomantak Party,Lion,21340,5120,0.665,General,14200,Vidhan Sabha Bypoll (State)
1970,Goa,Siroda,17,S. S. Barnable,Male,Maharashtrawadi Gomantak Party,Lion,11842,1230,0.542,General,8940,Vidhan Sabha Bypoll (State)
1999,Goa,Cortalim,27,Mauvin Godinho,Male,Indian National Congress,Hand,24103,2104,0.521,General,12558,Vidhan Sabha Bypoll (State)
2002,Goa,Benaulim,32,Francisco Pacheco,Male,United Goans Party,Hand,21980,1452,0.554,General,12176,Vidhan Sabha Bypoll (State)
2005,Goa,Margao,31,Digambar Kamat,Male,Indian National Congress,Hand,24508,1377,0.536,General,13136,Vidhan Sabha Bypoll (State)
2005,Goa,Taleigao,12,Atanasio Monserrate,Male,Indian National Congress,Hand,22104,1842,0.582,General,12864,Vidhan Sabha Bypoll (State)
2005,Goa,Curchorem,37,Ramkrishna Dhavalikar,Male,Maharashtrawadi Gomantak Party,Lion,23145,1120,0.498,General,11526,Vidhan Sabha Bypoll (State)
2010,Goa,Valpoi,19,Vishwajit Rane,Male,Indian National Congress,Hand,23450,8124,0.724,General,16977,Vidhan Sabha Bypoll (State)
2012,Goa,Cortalim,26,Alina Saldanha,Female,Bharatiya Janata Party,Lotus,26132,Unop.,1,General,-,Vidhan Sabha Bypoll (State)
2017,Goa,Panaji,11,Manohar Parrikar,Male,Bharatiya Janata Party,Lotus,22203,4803,0.647,General,15237,Vidhan Sabha Bypoll (State)
2017,Goa,Valpoi,19,Vishwajit Rane,Male,Bharatiya Janata Party,Lotus,28817,10066,0.702,General,21345,Vidhan Sabha Bypoll (State)
2019,Goa,Mandrem,1,Dayanand Sopte,Male,Bharatiya Janata Party,Lotus,32456,4124,0.564,General,27203,Vidhan Sabha Bypoll (State)
2019,Goa,Mapusa,5,Joshua D'Souza,Male,Bharatiya Janata Party,Lotus,29145,1151,0.489,General,22104,Vidhan Sabha Bypoll (State)
2019,Goa,Shiroda,22,Subhash Shirodkar,Male,Bharatiya Janata Party,Lotus,28942,76,0.431,General,24103,Vidhan Sabha Bypoll (State)
2019,Goa,Panaji,11,Atanasio Monserrate,Male,Indian National Congress,Hand,22408,1758,0.512,General,17246,Vidhan Sabha Bypoll (State)
2002,Jammu & Kashmir,JAMMU,6,CHOWDHARY TALIB HUSSAIN,Male,Jammu & Kashmir National Conference,PLOUGH,1580191,55489,7.619655743,General,728235,Lok Sabha Bypoll (National)
2006,Jammu & Kashmir,RAFIABAD,7,Mohd. Dilawar Mir,Male,Jammu & Kashmir Peoples Democratic Party,INK POT & PEN,67026,8659,17.10554908,General,50621,Lok Sabha Bypoll (National)
2006,Jammu & Kashmir,SANGRAMA,12,SHUIB NABI,Male,Independent,INDEPENDENT,55461,6318,17.99487326,General,35110,Lok Sabha Bypoll (National)
2006,Jammu & Kashmir,PATTAN,15,SHEIKH MUSTAFA KAMAL,Male,Jammu & Kashmir National Conference,PLOUGH,76356,2767,5.254163265,General,52663,Lok Sabha Bypoll (National)
2006,Jammu & Kashmir,BHADERWAH,54,SH. GHULAM NABI AZAD,Male,Independent,INDEPENDENT,91159,58015,87.7300428,General,66129,Lok Sabha Bypoll (National)
2017,Jammu & Kashmir,Srinagar,2,FAROOQ ABDULLAH,Male,Jammu & Kashmir National Conference,PLOUGH,1261817,10776,12.11453497,General,88951,Lok Sabha Bypoll (National)
1997,Jammu & Kashmir,DODA,53,KHALID NAJEEB,Male,Jammu & Kashmir National Conference,PLOUGH,47956,15775,50.31416451,General,31353,Vidhan Sabha Bypoll (State)
1998,Jammu & Kashmir,JAMMU EAST,72,ASHKO KUMAR,Male,Indian National Congress,HAND,71832,6197,25.70729279,General,24106,Vidhan Sabha Bypoll (State)
1999,Jammu & Kashmir,LANGATE,5,MOHD. SULTAN PANDIT,Male,Independent,INDEPENDENT,42426,72,0.417827298,General,17232,Vidhan Sabha Bypoll (State)
1999,Jammu & Kashmir,BIJBEHERA,45,ABDUL REHMAN,Male,Independent,Independent,54547,1250,14.50116009,General,8620,Vidhan Sabha Bypoll (State)
2003,Jammu & Kashmir,PAMPORE,32,ZAHOOR AHMAD MIR,Male,Jammu & Kashmir Peoples Democratic Party,INK POT & PEN,51688,12782,65.77809798,General,19432,Vidhan Sabha Bypoll (State)
2004,Jammu & Kashmir,BATMALOO,25,TARIQ AHMED KARA,Male,Jammu & Kashmir Peoples Democratic Party,INK POT & PEN,106131,3268,26.26376276,General,12443,Vidhan Sabha Bypoll (State)
